id,pricing_category
T0005828272,3.0
T0005779762,2.0
T0005816584,3.0
T0005821893,2.0
T0005813503,2.0
T0005753999,3.0
T0005892157,3.0
T0005886598,2.0
T0005775205,3.0
T0005746804,2.0
T0005896148,1.0
T0005879836,2.0
T0005734997,2.0
T0005774324,2.0
T0005838912,1.0
T0005771819,3.0
T0005702149,2.0
T0005736121,3.0
T0005845561,2.0
T0005789832,3.0
T0005900012,3.0
T0005723706,3.0
T0005760720,2.0
T0005893776,2.0
T0005854395,2.0
T0005801201,3.0
T0005738699,2.0
T0005774369,3.0
T0005839492,2.0
T0005900206,1.0
T0005893194,2.0
T0005809070,1.0
T0005798742,2.0
T0005891420,2.0
T0005891866,2.0
T0005824818,2.0
T0005815222,1.0
T0005768373,3.0
T0005804626,3.0
T0005865501,3.0
T0005870287,2.0
T0005754109,3.0
T0005702743,2.0
T0005760505,2.0
T0005738757,3.0
T0005697307,1.0
T0005885590,1.0
T0005718530,3.0
T0005782805,2.0
T0005801133,3.0
T0005904666,2.0
T0005810670,3.0
T0005724494,3.0
T0005722826,2.0
T0005876841,2.0
T0005770324,3.0
T0005728439,2.0
T0005801284,2.0
T0005853296,2.0
T0005896437,2.0
T0005767718,1.0
T0005833212,2.0
T0005884657,3.0
T0005840072,2.0
T0005902549,2.0
T0005706930,3.0
T0005883936,3.0
T0005737409,2.0
T0005833775,2.0
T0005690800,1.0
T0005809774,3.0
T0005719917,2.0
T0005763741,2.0
T0005766643,2.0
T0005809211,2.0
T0005754970,2.0
T0005754037,1.0
T0005752299,3.0
T0005890770,2.0
T0005901979,2.0
T0005738850,3.0
T0005833339,2.0
T0005903742,2.0
T0005905948,3.0
T0005747282,2.0
T0005822852,3.0
T0005696769,1.0
T0005876448,3.0
T0005809137,2.0
T0005770121,3.0
T0005833221,3.0
T0005733372,1.0
T0005770673,3.0
T0005786328,3.0
T0005809155,3.0
T0005854290,2.0
T0005806515,2.0
T0005836741,1.0
T0005876018,2.0
T0005709112,3.0
T0005754558,3.0
T0005772207,2.0
T0005862334,2.0
T0005878524,1.0
T0005713232,1.0
T0005754297,1.0
T0005784003,1.0
T0005797228,1.0
T0005700596,2.0
T0005792770,1.0
T0005766958,2.0
T0005798122,3.0
T0005790820,1.0
T0005716329,2.0
T0005896343,2.0
T0005719919,3.0
T0005848563,2.0
T0005895687,2.0
T0005715974,2.0
T0005694506,2.0
T0005808665,2.0
T0005872291,3.0
T0005692638,2.0
T0005783616,2.0
T0005701253,3.0
T0005881449,2.0
T0005853652,3.0
T0005854650,3.0
T0005826661,3.0
T0005906039,2.0
T0005720542,1.0
T0005809189,1.0
T0005724496,3.0
T0005787126,2.0
T0005734318,3.0
T0005708951,1.0
T0005793611,2.0
T0005840711,2.0
T0005745453,1.0
T0005831661,2.0
T0005783258,3.0
T0005873767,2.0
T0005843649,2.0
T0005703818,3.0
T0005859010,2.0
T0005766977,2.0
T0005754584,1.0
T0005701954,2.0
T0005871492,2.0
T0005698439,1.0
T0005828084,1.0
T0005867457,1.0
T0005775020,3.0
T0005701797,2.0
T0005692192,1.0
T0005875941,2.0
T0005768981,3.0
T0005787025,2.0
T0005704680,1.0
T0005767906,1.0
T0005786005,3.0
T0005855291,2.0
T0005725057,2.0
T0005718961,1.0
T0005809101,3.0
T0005814693,2.0
T0005824941,2.0
T0005789420,2.0
T0005713137,2.0
T0005780473,2.0
T0005793833,2.0
T0005743650,2.0
T0005829169,2.0
T0005809811,1.0
T0005761407,2.0
T0005708709,2.0
T0005841729,2.0
T0005831810,3.0
T0005707197,2.0
T0005705063,3.0
T0005803076,1.0
T0005728296,2.0
T0005730730,2.0
T0005745262,3.0
T0005747778,2.0
T0005742385,2.0
T0005756863,3.0
T0005805595,3.0
T0005690246,3.0
T0005865336,2.0
T0005888331,3.0
T0005690566,2.0
T0005715170,2.0
T0005769342,3.0
T0005774924,1.0
T0005723647,1.0
T0005883524,3.0
T0005703117,1.0
T0005827426,2.0
T0005731694,3.0
T0005697187,3.0
T0005855618,3.0
T0005745701,3.0
T0005790966,3.0
T0005779456,2.0
T0005869982,2.0
T0005834142,2.0
T0005699843,1.0
T0005781940,2.0
T0005874723,3.0
T0005788596,3.0
T0005706380,2.0
T0005824987,3.0
T0005891059,1.0
T0005865354,3.0
T0005719114,2.0
T0005806161,3.0
T0005740995,3.0
T0005854796,3.0
T0005900104,3.0
T0005709812,2.0
T0005879342,3.0
T0005854738,3.0
T0005816208,1.0
T0005715060,2.0
T0005792578,2.0
T0005705179,3.0
T0005872324,3.0
T0005841511,3.0
T0005787049,1.0
T0005690574,1.0
T0005906999,1.0
T0005744291,1.0
T0005820425,1.0
T0005701802,2.0
T0005884798,2.0
T0005815887,3.0
T0005870737,3.0
T0005727745,3.0
T0005704250,2.0
T0005703538,3.0
T0005737141,2.0
T0005806959,2.0
T0005811758,3.0
T0005716762,1.0
T0005886722,2.0
T0005816945,3.0
T0005846612,1.0
T0005851858,2.0
T0005884518,2.0
T0005838289,3.0
T0005706125,3.0
T0005717723,3.0
T0005796394,2.0
T0005854097,3.0
T0005876284,3.0
T0005762269,2.0
T0005696950,1.0
T0005883145,3.0
T0005902733,3.0
T0005699561,1.0
T0005715837,3.0
T0005837260,3.0
T0005788645,2.0
T0005854168,3.0
T0005734325,2.0
T0005770743,2.0
T0005732640,2.0
T0005702730,3.0
T0005832973,2.0
T0005790726,1.0
T0005884286,2.0
T0005822904,3.0
T0005762027,3.0
T0005897916,1.0
T0005862116,3.0
T0005739403,3.0
T0005744950,3.0
T0005798129,3.0
T0005818034,3.0
T0005716532,2.0
T0005790100,2.0
T0005795492,1.0
T0005817719,2.0
T0005883019,3.0
T0005755532,3.0
T0005824542,2.0
T0005818031,3.0
T0005766239,3.0
T0005866456,3.0
T0005846146,3.0
T0005782437,1.0
T0005903275,1.0
T0005897463,3.0
T0005723337,2.0
T0005819529,2.0
T0005846378,3.0
T0005854592,2.0
T0005844840,2.0
T0005722834,3.0
T0005821702,2.0
T0005894221,3.0
T0005907657,2.0
T0005879689,2.0
T0005837356,3.0
T0005907893,2.0
T0005703746,2.0
T0005709188,3.0
T0005736441,3.0
T0005826436,1.0
T0005692394,3.0
T0005864816,2.0
T0005829389,2.0
T0005726599,3.0
T0005722660,2.0
T0005832741,3.0
T0005750538,3.0
T0005726206,2.0
T0005764170,3.0
T0005805691,3.0
T0005844124,2.0
T0005745945,3.0
T0005903082,3.0
T0005772252,2.0
T0005802865,3.0
T0005817499,2.0
T0005890510,3.0
T0005770146,3.0
T0005872260,2.0
T0005828250,3.0
T0005877817,3.0
T0005876352,3.0
T0005700093,2.0
T0005701583,3.0
T0005883164,2.0
T0005836402,2.0
T0005702870,2.0
T0005802318,2.0
T0005870275,2.0
T0005841924,2.0
T0005835870,1.0
T0005743070,3.0
T0005859294,2.0
T0005835196,3.0
T0005748731,3.0
T0005880799,3.0
T0005859200,1.0
T0005842142,3.0
T0005819672,1.0
T0005720027,3.0
T0005744205,1.0
T0005873499,2.0
T0005699393,3.0
T0005762363,3.0
T0005704938,3.0
T0005770129,1.0
T0005861651,2.0
T0005893416,2.0
T0005701115,2.0
T0005779145,2.0
T0005704800,2.0
T0005691443,1.0
T0005710469,3.0
T0005774448,2.0
T0005729983,1.0
T0005786019,3.0
T0005771436,3.0
T0005763708,2.0
T0005814479,2.0
T0005698020,2.0
T0005773672,2.0
T0005873595,2.0
T0005731236,3.0
T0005760592,2.0
T0005781811,3.0
T0005898470,2.0
T0005796849,3.0
T0005726067,3.0
T0005738883,1.0
T0005837519,3.0
T0005904849,3.0
T0005880059,1.0
T0005753299,2.0
T0005817943,2.0
T0005796516,3.0
T0005739050,2.0
T0005859598,2.0
T0005905714,3.0
T0005874099,3.0
T0005799074,2.0
T0005772420,2.0
T0005863757,2.0
T0005738224,2.0
T0005772791,2.0
T0005759083,2.0
T0005831282,2.0
T0005693516,2.0
T0005868633,2.0
T0005756008,3.0
T0005908420,2.0
T0005787086,3.0
T0005749917,2.0
T0005697949,3.0
T0005854101,2.0
T0005745301,2.0
T0005873213,2.0
T0005829368,3.0
T0005801784,3.0
T0005716146,3.0
T0005879700,2.0
T0005697220,1.0
T0005757305,1.0
T0005902013,2.0
T0005852433,1.0
T0005811682,2.0
T0005829850,2.0
T0005891187,3.0
T0005725720,3.0
T0005829572,2.0
T0005787321,3.0
T0005804175,2.0
T0005866576,1.0
T0005720685,1.0
T0005737265,1.0
T0005752907,3.0
T0005777496,2.0
T0005731226,3.0
T0005785313,2.0
T0005724474,3.0
T0005788513,3.0
T0005824491,1.0
T0005893301,2.0
T0005735886,2.0
T0005794218,3.0
T0005735398,3.0
T0005828352,3.0
T0005708609,2.0
T0005855463,2.0
T0005778205,3.0
T0005842893,3.0
T0005746579,2.0
T0005772290,3.0
T0005807248,2.0
T0005752180,3.0
T0005855964,2.0
T0005805698,3.0
T0005795470,1.0
T0005798025,3.0
T0005733592,2.0
T0005860410,3.0
T0005882435,3.0
T0005774336,2.0
T0005862418,2.0
T0005897725,2.0
T0005858517,3.0
T0005838089,3.0
T0005716235,2.0
T0005866514,2.0
T0005689465,2.0
T0005750060,2.0
T0005806203,2.0
T0005799443,3.0
T0005900545,3.0
T0005709666,1.0
T0005759960,3.0
T0005852860,3.0
T0005866765,3.0
T0005821889,2.0
T0005767306,1.0
T0005791557,2.0
T0005695901,3.0
T0005908041,2.0
T0005705377,3.0
T0005819178,1.0
T0005750083,1.0
T0005840594,3.0
T0005849651,3.0
T0005904145,2.0
T0005886005,3.0
T0005733697,3.0
T0005775198,2.0
T0005873652,3.0
T0005861176,3.0
T0005758158,2.0
T0005748422,3.0
T0005795473,2.0
T0005714685,2.0
T0005870424,2.0
T0005757614,1.0
T0005835590,2.0
T0005904468,1.0
T0005729537,2.0
T0005799762,2.0
T0005734271,3.0
T0005873542,3.0
T0005731666,3.0
T0005725647,1.0
T0005719927,3.0
T0005737339,3.0
T0005899665,2.0
T0005817120,1.0
T0005846375,2.0
T0005847721,2.0
T0005895761,3.0
T0005877803,2.0
T0005839331,2.0
T0005876713,2.0
T0005689854,2.0
T0005703967,2.0
T0005818503,2.0
T0005885949,2.0
T0005887436,3.0
T0005839964,3.0
T0005711690,3.0
T0005720483,3.0
T0005729786,3.0
T0005732153,2.0
T0005702358,2.0
T0005803643,3.0
T0005877368,3.0
T0005718540,1.0
T0005740018,3.0
T0005813740,3.0
T0005885855,3.0
T0005744672,3.0
T0005861070,3.0
T0005723828,2.0
T0005903720,3.0
T0005718355,1.0
T0005881662,3.0
T0005710314,3.0
T0005858269,1.0
T0005896991,3.0
T0005818498,2.0
T0005803039,2.0
T0005821413,3.0
T0005896427,3.0
T0005711794,3.0
T0005849194,3.0
T0005698761,1.0
T0005821530,1.0
T0005811803,1.0
T0005859675,2.0
T0005835141,2.0
T0005836464,2.0
T0005864316,2.0
T0005824126,3.0
T0005705460,2.0
T0005742937,2.0
T0005704349,2.0
T0005757491,2.0
T0005873863,3.0
T0005882632,2.0
T0005854084,1.0
T0005833001,2.0
T0005724078,3.0
T0005794268,2.0
T0005847439,2.0
T0005905499,3.0
T0005797197,1.0
T0005839779,1.0
T0005834390,2.0
T0005890677,1.0
T0005899944,2.0
T0005795925,3.0
T0005743685,2.0
T0005837192,3.0
T0005888247,3.0
T0005834240,2.0
T0005714205,2.0
T0005898327,2.0
T0005771251,3.0
T0005744557,2.0
T0005854700,3.0
T0005698595,2.0
T0005748166,3.0
T0005753098,2.0
T0005819056,3.0
T0005880261,2.0
T0005740024,3.0
T0005808257,3.0
T0005839388,3.0
T0005726744,2.0
T0005748813,1.0
T0005807984,2.0
T0005836937,2.0
T0005887139,2.0
T0005904404,2.0
T0005705859,1.0
T0005828435,3.0
T0005799653,1.0
T0005827457,2.0
T0005832037,2.0
T0005830432,2.0
T0005830410,2.0
T0005755433,2.0
T0005692611,3.0
T0005810786,3.0
T0005790601,2.0
T0005839980,3.0
T0005724658,3.0
T0005762002,2.0
T0005887189,3.0
T0005800901,2.0
T0005713001,2.0
T0005798322,3.0
T0005733577,2.0
T0005752643,2.0
T0005781552,2.0
T0005907025,2.0
T0005753278,3.0
T0005890638,3.0
T0005752725,2.0
T0005815114,2.0
T0005760166,1.0
T0005728527,3.0
T0005692700,2.0
T0005791281,2.0
T0005695002,2.0
T0005792767,3.0
T0005796222,2.0
T0005832102,2.0
T0005697470,2.0
T0005822948,1.0
T0005780706,1.0
T0005869384,1.0
T0005881399,2.0
T0005874693,2.0
T0005879596,2.0
T0005793201,3.0
T0005697178,2.0
T0005761428,2.0
T0005859836,2.0
T0005870521,3.0
T0005769301,2.0
T0005772164,3.0
T0005743547,3.0
T0005904838,2.0
T0005745327,1.0
T0005834272,2.0
T0005876904,2.0
T0005815331,1.0
T0005821400,2.0
T0005817286,2.0
T0005875488,2.0
T0005896128,3.0
T0005689598,3.0
T0005786514,2.0
T0005751014,3.0
T0005727921,2.0
T0005872760,2.0
T0005845885,2.0
T0005848575,3.0
T0005845910,3.0
T0005724936,2.0
T0005711452,2.0
T0005740865,2.0
T0005731466,2.0
T0005710069,3.0
T0005698351,1.0
T0005736977,2.0
T0005791520,1.0
T0005802826,2.0
T0005861397,3.0
T0005748129,2.0
T0005793273,1.0
T0005812726,3.0
T0005840679,1.0
T0005695057,2.0
T0005805503,3.0
T0005889535,3.0
T0005777338,3.0
T0005897373,2.0
T0005765332,2.0
T0005760966,3.0
T0005869792,3.0
T0005809950,1.0
T0005841763,3.0
T0005850511,2.0
T0005708974,1.0
T0005735747,2.0
T0005795208,2.0
T0005818616,3.0
T0005702193,1.0
T0005713894,1.0
T0005839605,1.0
T0005884791,3.0
T0005857022,2.0
T0005726440,3.0
T0005702717,2.0
T0005817385,3.0
T0005813055,3.0
T0005898240,2.0
T0005811020,1.0
T0005793101,2.0
T0005893975,2.0
T0005861288,2.0
T0005759533,1.0
T0005817114,2.0
T0005836445,2.0
T0005898888,2.0
T0005724829,2.0
T0005818318,2.0
T0005842115,1.0
T0005882918,1.0
T0005811354,2.0
T0005827618,3.0
T0005830083,2.0
T0005818415,2.0
T0005833228,3.0
T0005851810,2.0
T0005712357,1.0
T0005775223,2.0
T0005751559,2.0
T0005868109,1.0
T0005812800,1.0
T0005855321,3.0
T0005883106,2.0
T0005840999,2.0
T0005862749,2.0
T0005835421,3.0
T0005858685,3.0
T0005722141,1.0
T0005771063,2.0
T0005787394,2.0
T0005825095,1.0
T0005846468,3.0
T0005781339,2.0
T0005751946,1.0
T0005802337,2.0
T0005724963,2.0
T0005701273,2.0
T0005865861,1.0
T0005818469,2.0
T0005874946,2.0
T0005700431,3.0
T0005708847,3.0
T0005765760,1.0
T0005810475,1.0
T0005732307,2.0
T0005817693,2.0
T0005768783,2.0
T0005871172,3.0
T0005789489,1.0
T0005806667,3.0
T0005760155,2.0
T0005757926,2.0
T0005742602,3.0
T0005786171,2.0
T0005714106,3.0
T0005799948,3.0
T0005795292,1.0
T0005864660,3.0
T0005872140,2.0
T0005887188,2.0
T0005791662,2.0
T0005849493,2.0
T0005755916,2.0
T0005857003,2.0
T0005761402,3.0
T0005812361,1.0
T0005712811,3.0
T0005876011,3.0
T0005715136,3.0
T0005742585,3.0
T0005773649,2.0
T0005871444,3.0
T0005828768,3.0
T0005815333,1.0
T0005738882,2.0
T0005747003,2.0
T0005703874,3.0
T0005713702,2.0
T0005810224,3.0
T0005732185,2.0
T0005900313,2.0
T0005807613,1.0
T0005729149,2.0
T0005893046,3.0
T0005722088,2.0
T0005772095,2.0
T0005804855,3.0
T0005889869,2.0
T0005762562,2.0
T0005693813,3.0
T0005692699,3.0
T0005820227,2.0
T0005833049,2.0
T0005823649,1.0
T0005827846,2.0
T0005855902,2.0
T0005816708,3.0
T0005709933,3.0
T0005753543,1.0
T0005787008,2.0
T0005801415,3.0
T0005849641,3.0
T0005783929,2.0
T0005763102,2.0
T0005892243,3.0
T0005802210,2.0
T0005833824,3.0
T0005883130,2.0
T0005875382,2.0
T0005851572,3.0
T0005695727,3.0
T0005900928,3.0
T0005755150,2.0
T0005881713,2.0
